"Nombre de imagen","PID","Nombre de sesi�n","N�m. de sesi�n","Uso de memoria","Estado","Nombre de usuario","Tiempo de CPU","T�tulo de ventana"
"nvcontainer.exe","5136","Services","0","35.476 KB","Unknown","N/D","0:00:02","N/D"
"RtkAudUService64.exe","5144","Services","0","9.548 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","5152","Services","0","5.056 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","5176","Services","0","20.424 KB","Unknown","N/D","0:00:00","N/D"
"GameManagerService.exe","5184","Services","0","64.268 KB","Unknown","N/D","0:00:18","N/D"
"RtkBtManServ.exe","5200","Services","0","6.028 KB","Unknown","N/D","0:00:00","N/D"
"GameSDK.exe","5208","Services","0","6.164 KB","Unknown","N/D","0:00:00","N/D"
"ROGLiveService.exe","5216","Services","0","19.676 KB","Unknown","N/D","0:00:02","N/D"
"LightingService.exe","5244","Services","0","23.640 KB","Unknown","N/D","0:00:01","N/D"
"MsMpEng.exe","5324","Services","0","285.772 KB","Unknown","N/D","0:10:55","N/D"
"svchost.exe","5504","Services","0","6.444 KB","Unknown","N/D","0:00:00","N/D"
"TeamViewer_Service.exe","5576","Services","0","22.392 KB","Unknown","N/D","0:00:02","N/D"
"escsvc64.exe","5780","Services","0","6.372 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","5932","Services","0","4.876 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","6248","Services","0","8.660 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","6360","Services","0","12.188 KB","Unknown","N/D","0:00:00","N/D"
"Aac3572DramHal_x86.exe","7172","Services","0","7.928 KB","Unknown","N/D","0:00:01","N/D"
"Razer Synapse Service.exe","7472","Services","0","105.540 KB","Unknown","N/D","0:00:34","N/D"
"unsecapp.exe","8096","Services","0","6.460 KB","Unknown","N/D","0:00:00","N/D"
"NisSrv.exe","7732","Services","0","10.184 KB","Unknown","N/D","0:00:00","N/D"
"AacKingstonDramHal_x64.exe","8088","Services","0","7.460 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","7760","Services","0","8.752 KB","Unknown","N/D","0:00:00","N/D"
"dllhost.exe","5108","Services","0","10.200 KB","Unknown","N/D","0:00:00","N/D"
"extensionCardHal_x86.exe","8256","Services","0","7.928 KB","Unknown","N/D","0:00:00","N/D"
"AacKingstonDramHal_x86.exe","8360","Services","0","7.736 KB","Unknown","N/D","0:00:00","N/D"
"Aac3572MbHal_x86.exe","8472","Services","0","8.728 KB","Unknown","N/D","0:06:23","N/D"
"svchost.exe","7184","Services","0","15.092 KB","Unknown","N/D","0:00:02","N/D"
"svchost.exe","4736","Services","0","19.412 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","9152","Services","0","11.656 KB","Unknown","N/D","0:00:01","N/D"
"SearchIndexer.exe","9484","Services","0","34.416 KB","Unknown","N/D","0:00:26","N/D"
"svchost.exe","9696","Services","0","21.396 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","11540","Services","0","13.304 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","11336","Services","0","18.544 KB","Unknown","N/D","0:00:00","N/D"
"SecurityHealthService.exe","15944","Services","0","12.764 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","9544","Services","0","16.908 KB","Unknown","N/D","0:00:01","N/D"
"svchost.exe","17052","Services","0","11.468 KB","Unknown","N/D","0:00:01","N/D"
"SgrmBroker.exe","17768","Services","0","7.280 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","17832","Services","0","9.600 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","20300","Services","0","5.808 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","11556","Services","0","13.296 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","19812","Services","0","9.104 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","20176","Services","0","14.572 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","15424","Services","0","8.708 KB","Unknown","N/D","0:00:00","N/D"
"csrss.exe","21344","Console","2","5.952 KB","Running","N/D","0:00:35","N/D"
"winlogon.exe","9660","Console","2","10.684 KB","Unknown","N/D","0:00:00","N/D"
"fontdrvhost.exe","8736","Console","2","6.620 KB","Unknown","N/D","0:00:00","N/D"
"dwm.exe","21896","Console","2","65.656 KB","Running","N/D","0:03:04","DWM Notification Window"
"NVDisplay.Container.exe","2676","Console","2","48.144 KB","Running","N/D","0:00:03","NvSvc"
"svchost.exe","19232","Services","0","5.516 KB","Unknown","N/D","0:00:00","N/D"
"Razer Synapse Service Process.exe","13920","Console","2","55.084 KB","Running","DESKTOP-5I5ARKU\josga","0:00:07",".NET-BroadcastEventWindow.4.0.0.0.7797c1.0"
"sihost.exe","15240","Console","2","26.968 KB","Running","DESKTOP-5I5ARKU\josga","0:00:01","N/D"
"svchost.exe","22860","Console","2","25.228 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:05","N/D"
"svchost.exe","10412","Console","2","8.316 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:00","N/D"
"svchost.exe","8068","Console","2","34.204 KB","Running","DESKTOP-5I5ARKU\josga","0:00:01","Windows Push Notifications Platform"
"nvcontainer.exe","16044","Console","2","26.900 KB","Running","DESKTOP-5I5ARKU\josga","0:00:00","{2A335767-FC94-417F-ABC4-B4122ADBEE60}"
"taskhostw.exe","19108","Console","2","8.968 KB","Running","DESKTOP-5I5ARKU\josga","0:00:00","Task Host Window"
"AcPowerNotification.exe","8832","Console","2","8.668 KB","Running","DESKTOP-5I5ARKU\josga","0:00:00","SystemResourceNotifyWindow"
"MonitorMicroKeyDetector.exe","13412","Console","2","12.004 KB","Running","DESKTOP-5I5ARKU\josga","0:00:05","N/D"
"GamingIntelligence.exe","19576","Console","2","23.128 KB","Running","DESKTOP-5I5ARKU\josga","0:00:06","SystemResourceNotifyWindow"
"nvcontainer.exe","14960","Console","2","56.496 KB","Running","DESKTOP-5I5ARKU\josga","0:00:27","BroadcastListenerWindow"
"MysticLightController.exe","2484","Console","2","5.960 KB","Running","DESKTOP-5I5ARKU\josga","0:00:01","N/D"
"svchost.exe","2636","Services","0","8.060 KB","Unknown","N/D","0:00:00","N/D"
"ArmourySocketServer.exe","4320","Console","2","3.312 KB","Running","DESKTOP-5I5ARKU\josga","0:00:00","ArmourySocketServerName"
"asus_framework.exe","10736","Console","2","16.856 KB","Running","DESKTOP-5I5ARKU\josga","0:00:03","N/D"
"taskhostw.exe","16956","Console","2","18.920 KB","Running","DESKTOP-5I5ARKU\josga","0:00:00","Task Host Window"
"WeatherDetector.exe","12860","Console","2","5.444 KB","Running","DESKTOP-5I5ARKU\josga","0:00:00","N/D"
"TeamViewer.exe","20244","Console","2","70.248 KB","Running","DESKTOP-5I5ARKU\josga","0:00:01","N/D"
"explorer.exe","11076","Console","2","157.852 KB","Running","DESKTOP-5I5ARKU\josga","0:00:41","N/D"
"tv_w32.exe","5076","Console","2","8.960 KB","Unknown","N/D","0:00:00","N/D"
"tv_x64.exe","21276","Console","2","8.752 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","10616","Console","2","32.988 KB","Running","DESKTOP-5I5ARKU\josga","0:00:00","OLEChannelWnd"
"NVIDIA Web Helper.exe","20208","Console","2","8.636 KB","Running","DESKTOP-5I5ARKU\josga","0:00:01","NVIDIA NodeJS Share Window"
"conhost.exe","8780","Console","2","1.236 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:00","N/D"
"StartMenuExperienceHost.exe","6884","Console","2","76.136 KB","Running","DESKTOP-5I5ARKU\josga","0:00:02","Inicio"
"ctfmon.exe","5436","Console","2","23.292 KB","Running","DESKTOP-5I5ARKU\josga","0:00:07","N/D"
"RuntimeBroker.exe","4416","Console","2","22.848 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:00","N/D"
"SearchApp.exe","18280","Console","2","224.276 KB","Running","DESKTOP-5I5ARKU\josga","0:00:05","B�squeda"
"RuntimeBroker.exe","22808","Console","2","38.724 KB","Running","DESKTOP-5I5ARKU\josga","0:00:01","N/D"
"PhoneExperienceHost.exe","20472","Console","2","144.676 KB","Running","DESKTOP-5I5ARKU\josga","0:00:01","N/D"
"RuntimeBroker.exe","14008","Console","2","13.912 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:00","N/D"
"asus_framework.exe","14096","Console","2","1.092 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:00","N/D"
"ArmourySwAgent.exe","2856","Console","2","1.428 KB","Running","DESKTOP-5I5ARKU\josga","0:00:00","N/D"
"asus_framework.exe","4604","Console","2","944 KB","Not Responding","DESKTOP-5I5ARKU\josga","0:00:00","OleMainThreadWndName"
"asus_framework.exe","4868","Console","2","1.120 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:00","N/D"
"Aac3572MbHal_x86.exe","10112","Console","2","9.868 KB","Running","DESKTOP-5I5ARKU\josga","0:00:00","OleMainThreadWndName"
"ArmouryCrate.UserSessionHelper.exe","3956","Console","2","49.236 KB","Running","DESKTOP-5I5ARKU\josga","0:00:07","MacroKey Hidden Wnd"
"conhost.exe","9856","Console","2","5.468 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:00","N/D"
"nvsphelper64.exe","17496","Console","2","12.444 KB","Running","DESKTOP-5I5ARKU\josga","0:00:00","{1274D398-C3C8-422E-87DD-2FAFFD5A7F2F}"
"NVIDIA Share.exe","11980","Console","2","53.248 KB","Running","DESKTOP-5I5ARKU\josga","0:00:01","NVIDIA GeForce Overlay"
"NVIDIA Share.exe","252","Console","2","32.508 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:00","N/D"
"NVIDIA Share.exe","13460","Console","2","56.788 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:01","N/D"
"TextInputHost.exe","13548","Console","2","45.900 KB","Running","DESKTOP-5I5ARKU\josga","0:00:01","Microsoft Text Input Application"
"RuntimeBroker.exe","816","Console","2","24.128 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:02","N/D"
"SecurityHealthSystray.exe","20676","Console","2","8.788 KB","Running","DESKTOP-5I5ARKU\josga","0:00:00","N/D"
"RtkAudUService64.exe","8636","Console","2","8.988 KB","Running","DESKTOP-5I5ARKU\josga","0:00:00","RealtekAudioBackgroundProcessClass"
"vgtray.exe","12456","Console","2","9.852 KB","Running","DESKTOP-5I5ARKU\josga","0:00:00","N/D"
"OneDrive.exe","12532","Console","2","89.048 KB","Running","DESKTOP-5I5ARKU\josga","0:00:03","DDE Server Window"
"Razer Synapse 3.exe","20144","Console","2","104.768 KB","Running","DESKTOP-5I5ARKU\josga","0:00:04","Razer Synapse"
"Razer Central.exe","23416","Console","2","111.824 KB","Running","DESKTOP-5I5ARKU\josga","0:00:32","GDI+ Window (Razer Central.exe)"
"E_YATII5E.EXE","11308","Console","2","12.548 KB","Running","DESKTOP-5I5ARKU\josga","0:00:01","STM3 TrayIcon"
"CefSharp.BrowserSubprocess.exe","17124","Console","2","49.356 KB","Running","DESKTOP-5I5ARKU\josga","0:00:00","N/D"
"CefSharp.BrowserSubprocess.exe","16624","Console","2","32.308 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:00","N/D"
"CefSharp.BrowserSubprocess.exe","22780","Console","2","24.844 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:00","N/D"
"CefSharp.BrowserSubprocess.exe","18728","Console","2","30.472 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:00","N/D"
"CefSharp.BrowserSubprocess.exe","22708","Console","2","73.280 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:02","N/D"
"asus_framework.exe","18504","Console","2","880 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:00","N/D"
"voicemeeterpro.exe","4540","Console","2","35.468 KB","Running","DESKTOP-5I5ARKU\josga","0:03:37","VoiceMeeter"
"jusched.exe","20524","Console","2","15.472 KB","Not Responding","DESKTOP-5I5ARKU\josga","0:00:00","OleMainThreadWndName"
"GameBar.exe","22832","Console","2","2.400 KB","Running","DESKTOP-5I5ARKU\josga","0:00:00","N/D"
"GameBarFTServer.exe","2784","Console","2","13.548 KB","Running","DESKTOP-5I5ARKU\josga","0:00:00","OleMainThreadWndName"
"RuntimeBroker.exe","12816","Console","2","16.760 KB","Running","DESKTOP-5I5ARKU\josga","0:00:00","OleMainThreadWndName"
"svchost.exe","16344","Console","2","22.488 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:00","N/D"
"SystemSettings.exe","2064","Console","2","1.440 KB","Running","DESKTOP-5I5ARKU\josga","0:00:00","Configuraci�n"
"ApplicationFrameHost.exe","15472","Console","2","37.244 KB","Running","DESKTOP-5I5ARKU\josga","0:00:01","Calculadora"
"UserOOBEBroker.exe","21352","Console","2","9.792 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:00","N/D"
"Microsoft.Media.Player.exe","2404","Console","2","1.472 KB","Running","DESKTOP-5I5ARKU\josga","0:00:00","Reproductor multimedia"
"RuntimeBroker.exe","756","Console","2","24.900 KB","Running","DESKTOP-5I5ARKU\josga","0:00:00","N/D"
"opera.exe","15624","Console","2","443.788 KB","Running","DESKTOP-5I5ARKU\josga","0:05:58","Generar archivo CSV - Opera"
"opera_crashreporter.exe","14744","Console","2","9.232 KB","Running","DESKTOP-5I5ARKU\josga","0:00:00","N/D"
"opera.exe","14704","Console","2","284.916 KB","Running","DESKTOP-5I5ARKU\josga","0:04:22","N/D"
